superkingdom	kingdom	phylum	ERZ1714329_FASTA	ERZ1714330_FASTA	ERZ1714331_FASTA	ERZ1714332_FASTA	ERZ1714333_FASTA	ERZ1714334_FASTA	ERZ1714335_FASTA	ERZ1714336_FASTA	ERZ1714337_FASTA	ERZ1714338_FASTA	ERZ1714339_FASTA
Bacteria	Unassigned	Acidobacteria	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Actinobacteria	0	3	3	13	0	13	9	4	12	0	6
Bacteria	Unassigned	Bacteroidetes	10	15	59	5	17	20	10	1	8	0	10
Bacteria	Unassigned	Candidatus_Campbellbacteria	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Gracilibacteria	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	0	0	4	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Magasanikbacteria	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Moranbacteria	0	0	0	2	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Nomurabacteria	0	0	0	1	0	0	1	0	2	0	0
Bacteria	Unassigned	Candidatus_Pacebacteria	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Peregrinibacteria	0	0	0	1	0	0	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	0	0	0	5	0	1	1	0	1	0	0
Bacteria	Unassigned	Chloroflexi	0	1	0	0	0	0	0	0	0	0	3
Bacteria	Unassigned	Cyanobacteria	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Firmicutes	0	5	17	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Fusobacteria	0	0	2	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Gemmatimonadetes	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Ignavibacteriae	0	0	0	0	0	1	0	1	0	0	0
Bacteria	Unassigned	Nitrospirae	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Planctomycetes	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Proteobacteria	62	59	35	32	101	29	35	15	43	34	25
Bacteria	Unassigned	Spirochaetes	0	0	1	0	0	0	0	2	0	0	0
Bacteria	Unassigned	Thermotogae	0	0	0	0	0	0	0	0	0	0	2
Bacteria	Unassigned	Unassigned	1	7	12	19	12	11	10	12	18	0	3
Bacteria	Unassigned	Verrucomicrobia	0	0	0	0	0	2	0	0	0	0	0
Eukaryota	Fungi	Cryptomycota	0	0	0	1	0	0	0	0	13	0	0
Eukaryota	Fungi	Unassigned	0	0	0	0	0	0	4	0	4	0	0
Eukaryota	Metazoa	Annelida	0	0	0	0	0	2	0	0	0	0	0
Eukaryota	Metazoa	Nematoda	0	0	0	0	0	0	0	0	0	0	2
Eukaryota	Unassigned	Ciliophora	0	0	0	0	0	0	0	0	2	0	0
Eukaryota	Unassigned	Euglenozoa	0	0	0	1	0	0	0	0	0	0	0
Eukaryota	Unassigned	Unassigned	0	0	0	7	0	2	3	0	4	0	0
Unassigned	Unassigned	Unassigned	0	1	4	4	2	2	0	1	2	2	2
